Gene_Name	CKDdb_num_of_studies	CKDdb_Disease	GOA_Kidney_Research_Priority	tub_Exp_num_of_eQTLs	tub_Pr_of_no_eQTL	tub_FDR	glom_Exp_num_of_eQTLs	glom_Pr_of_no_eQTL	glom_FDR
LRAT	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
LRRC2	7.0	1.0	0	0.0	0.0	0.0	1.04	5.7799999999999995e-05	4.92e-06
L-SELECTIN	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SELL	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
LNHR	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MAP3K13	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
LZK	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MAP4K4	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
HGK	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
NIK	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MAP4K5	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MAPRE2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RP1	10.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MBL2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
COLEC1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MBL	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MCTP2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MELK	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PK38	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MICAL2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MICAL2PV2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MICAL2PV1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MIR146A	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MIR155	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MIR192	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MIR205	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MMP16	7.0	1.0	0	0.0	0.0	0.0	1.06	0.0438	0.0082
MMPX2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MMP20	9.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MOBP	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MPZL1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PZR	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
UNQ849/PRO1787	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MS4A4C	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MS4A4B	8.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MT2	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
MTDH	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
AEG1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
LYRIC	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MTHFD2	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
NMDMC	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MUSMUSCULUSMIR-1188STEM-LOOP	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MYOZ2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MYRF	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MRF	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
NBN	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
NBS	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
NBS1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
NDUFS1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
NFASC	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
NFIB	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
NNMT	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
NOTCH2	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
NOX4	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RENOX	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
KOX-1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
NRG1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
GGF	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
HGL	10.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
OBSL1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
OGDH	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
P2RY10	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
P2RY13	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
GPR86	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
GPR94	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
P2RY6	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
P5	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PDIA6	12.0	1.0	0	0.0	0.0	0.0	0.992	0.0158	0.00282
ERP5	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PAF	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
NS5ATP9	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
L5	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PAIP1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PARK7	7.0	1.0	0	1.74	0.0038299999999999996	0.00042199999999999996	0.0	0.0	0.0
DJ-1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PAWR	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
PAR4	8.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PCDH7	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
BHPCDH	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PDE4B	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
DPDE4	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PDE4B5	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PDGFRA	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
PDGFR2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RHEPDGFRA	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PDK3	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PDHK3	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PHLDA1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PHRIP	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TDAG51	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PHLDB1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
LL5A	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
DLNB07	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PI16	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PIK3IP1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
HGFL	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PIPOX	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
LPIPOX	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PSO	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PLA2R1	7.0	1.0	1	0.0	0.0	0.0	1.7	2.16e-07	2.2200000000000004e-08
CLEC13C	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PLLP	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PMLP	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TM4SF11	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PLXNC1	7.0	1.0	0	1.01	0.00011100000000000001	9.61e-06	0.0	0.0	0.0
VESPR	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PMAIP1	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
NOXA	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
POR	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PPAP2A	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
LPP1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PAP2-A1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PPARG	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PPARGAMMA2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
NR1C3	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PPFIA4	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PPM1F	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
PRDM13	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PFM10	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PRDX2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
NKEFB	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TDPX1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PRDX5	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
PRELP	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SLRR2A	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MST161	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PRODH2	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
HSPOX1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PRSS8	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PSME1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PTGER2	11.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PTHR	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PTHR1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PTK2	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
FAK	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
FAK1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PTPN1	7.0	1.0	1	0.948	0.0622	0.00981	0.0	0.0	0.0
PTP1B	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PTPRS	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PTP	11.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PTPRZ1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
HTPZP2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PTPRZ	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PVALB	7.0	1.0	0	1.58	8.64e-08	4.15e-09	0.0	0.0	0.0
QDPR	7.0	1.0	0	0.9890000000000001	0.0248	0.00309	0.0	0.0	0.0
DHPR	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
QKI	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
HKQ	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
QUAKING	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
QSOX1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
QSCN6	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SOX	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RA-A47	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SERPINH1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CBP1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RAB31	7.0	1.0	0	0.0	0.0	0.0	1.11	0.0237	0.00435
RAB22B	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RAD23B	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RAD51	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RAD51A	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RECA	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RALA	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RAL	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RBP1	11.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
CRBP1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RDX	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
REEP5	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
DP1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TB2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RGS14	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RGS4	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RHOA	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
ARHA	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ARH12	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RIMS2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RAB3IP3	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RIM2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RNASE1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RIB1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RNS1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RNF17	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TDRD4	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ROBO4	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
UNQ421/PRO3674	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
UNQ421	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ROS1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MCF3	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ROS	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RPL17	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RPL17P9	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RPL3	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ASC-1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RPL7	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
HUML7-1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RPL7P32	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RPS24	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RPS28	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RPS3A	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
FTE1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MFTL	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RPS6	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PNAS-20	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RPS6KA1	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
MAPKAPK1A	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RSK1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
RUNX1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
AML1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CBFA2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SAA1	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
SAA3	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SAMD4A	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
SAMD4	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SMAUG1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SCARB2	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
CD36L2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
LIMPII	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SCD	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PRO0998	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SCNN1B	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
SCP2	9.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
SDHA	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SEL1L3	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
SERPINA4	7.0	1.0	0	1.01	1.02e-09	7.65e-11	0.0	0.0	0.0
KST	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PI4	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SERPINE2	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
PI7	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PN1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SGK	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SGK1	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
SHMT2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SLC12A1	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
NKCC2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SLC1A1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
EAAC1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
EAAT3	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SLC25A24	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
APC1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
MCSC1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SLC26A4	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
SLC6A20	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
SIT1	9.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
XT3	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SLC7A7	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SLC7A8	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
LAT2	9.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TA1	9.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SLC9A3	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
NHE3	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SLC9A3R2	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
NHERF2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
NHERF-2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SMARCA4	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
BAF190A	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
BRG1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SMS	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SNX29	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SORBS1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CAP	10.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SH3P12	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SP100	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SRI	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ST8SIA4	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PST	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PST1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
STAT3	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
APRF	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
STC	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
STC1	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
STIP1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
STK10	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
LOK	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
STOML2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SLP2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
HSPC108	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
STX2	7.0	1.0	0	1.02	0.054000000000000006	0.0085	0.0	0.0	0.0
EPIM	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SULT1A1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ST1A1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
STP	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SULT1D1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ST1D1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SUMO2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SMT3A	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SMT3H2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SUOX	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SYT12	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TBX2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TCL6	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TNG1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TNG2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TEK	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TIE-2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TIE2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TENM4	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ODZ4	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TNM4	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TES	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
TLR3	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TLR7	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
UNQ248/PRO285	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
UNQ248	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TMCC1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TNFAIP2	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
TNFAIP8	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF12A	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
FGFRP2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
FN14	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF1A	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TNFAR	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TNFR1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TNR-CFTR	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CFTR	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CF	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TOX3	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CAGF9	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TNRC9	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TRAM1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TRAM	8.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TREML4	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TLT4	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TREML3	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TTLL3	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PRO0207	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TUBA4A	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TUBA4	8.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TUBB2A	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TUBB2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TUBB4B	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TUFM	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
UBD	14.0	1.0	1	1.07	3.4200000000000005e-05	2.93e-06	0.0	0.0	0.0
FAT10	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
VAPB	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
UNQ484/PRO983	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
VDAC1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
VDAC	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
VDAC4	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
VWA1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
WARP	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
VWA8	7.0	1.0	0	1.05	2.83e-06	2.22e-07	0.0	0.0	0.0
WAS	7.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
IMD2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
WASP	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
WIPF1	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
WASPIP	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
WIP	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
WISP2	7.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
