Gene_Name	Experimental_seed_genes_overlap	Inferred_seed_genes_overlap	known_gene	GTEx_kidney_TPM_expression	GTEx_kidney_Expression_Rank	ProteinAtlas_gene_expr_levels	ProteinAtlas_RNA_expression_TMP	GO_renal	GO_kidney	GO_nephro	GO_glomerul	GO_distal tubule	CKD-example_GWAS_hits	CKD-example_GWAS_max_P_VALUE	CKD-example_GWAS_min_P_VALUE	CKD-example_GWAS_max_OR	CKD-example_GWAS_min_OR	CKD-example_GWAS_tissue_trait_flag	MGI_mouse_knockout_feature
BOLA2	0.07142857142857142	0.0	0.0			Medium	1.6	0.0	0.0	0.0	0.0	0.0							0.0
BOLA3	0.1111111111111111	0.0	0.0	36.33	1863.0	0	35.8	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BOLL	0.0	0.0	0.0	0.01385	18225.0	Not_detected	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BOP	0.0	0.0	0.0			0	0.0	0.0	0.0	0.0	0.0	0.0							0.0
BOP1	0.0	0.043076923076923075	0.0	0.7056	18225.0	Medium	5.7	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BORA	0.11764705882352941	0.13157894736842105	0.0	1.73	18225.0	High	1.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BPGM	0.16666666666666666	0.05432937181663837	0.0	18.27	3869.0	Low	36.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BPHL	0.1111111111111111	0.0	0.0	18.67	3775.0	High	112.2	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BPIFA1	0.125	0.0	0.0	0.0	18225.0	Not_detected	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BPIFA2	0.0	0.0	0.0	0.2459	18225.0	Not_detected	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BPIFB1	1.0	0.0	0.0	0.02264	18225.0	Not_detected	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BPIFB2	1.0	0.0	0.0	0.0	18225.0	Not_detected	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BPIFB3	1.0	0.0	0.0	0.0	18225.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BPIFB4	0.0	0.0	0.0	0.0	18225.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BPNT1	0.14285714285714285	0.0	0.0	13.46	4976.0	High	29.9	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BPTF	0.05555555555555555	0.0	0.0	7.091	7570.0	Low	26.2	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BPY2	0.0	0.0	0.0			0	0.1	0.0	0.0	0.0	0.0	0.0							0.0
BRAF	0.07272727272727272	0.06976744186046512	1.0	5.712000000000001	8398.0	High	9.4	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	1.0
BRAP	0.0784313725490196	0.1276595744680851	0.0	6.59	7872.0	Medium	9.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRAT1	0.0	1.0	0.0	22.07	3210.0	High	4.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRCA1	0.06378986866791744	0.034482758620689655	0.0	0.5312	18225.0	Medium	2.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	1.0
BRCA2	0.13333333333333333	0.08	1.0	0.06493	18225.0	0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRCC3	0.05128205128205128	0.06666666666666667	0.0	7.04	7603.0	0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRD1	0.0	0.0	0.0	9.029	6631.0	Not_detected	4.9	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRD2	0.0	0.42857142857142855	0.0	77.53	691.0	Low	17.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	1.0
BRD3	0.0	0.14285714285714285	0.0	6.432	7956.0	Medium	6.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRD4	0.09876543209876543	0.11538461538461539	0.0	14.2	4780.0	High	12.9	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRD7	0.05660377358490566	0.2	0.0	14.27	4761.0	High	40.9	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRD8	0.10526315789473684	0.058823529411764705	0.0	18.53	3808.0	Medium	22.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRD9	0.0	0.2727272727272727	0.0	10.84	5837.0	0	4.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRDT	0.0	0.09090909090909091	0.0	0.008055	18225.0	Not_detected	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRE	0.046511627906976744	0.07407407407407407	0.0	33.87	2035.0	High	51.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRF1	0.10526315789473684	0.013513513513513514	0.0	3.116	18225.0	0	6.6	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRF2	0.08771929824561403	0.0	0.0	5.025	8803.0	High	6.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRI3	0.0	0.0	0.0	74.87	720.0	0	75.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRI3BP	0.17647058823529413	0.0	0.0	3.428	18225.0	Medium	7.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRICD5	0.0	0.0	0.0	10.11	6155.0	0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRINP1	0.08333333333333333	0.2	0.0	0.5072	18225.0	Not_detected	1.8	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRINP2	0.0	0.0	0.0	0.03826	18225.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRINP3	0.0	0.0	0.0	0.3687	18225.0	0	2.4	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRIP1	0.08695652173913043	0.12727272727272726	0.0	0.08564	18225.0	High	0.4	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRIX1	0.03508771929824561	0.0364741641337386	0.0	13.73	4898.0	High	11.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRK1	0.0	0.046511627906976744	0.0	172.5	247.0	0	168.4	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRMS1	0.05454545454545454	0.1111111111111111	0.0	35.99	1878.0	Low	17.4	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRMS1L	0.041666666666666664	0.0	0.0	4.178	9466.0	0	9.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BROX	0.3333333333333333	0.0	0.0	9.871	6252.0	0	24.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRPF1	0.05263157894736842	0.1875	0.0	6.35	8003.0	Medium	4.4	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRPF3	0.0	0.0	0.0	13.49	4962.0	0	12.8	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRSK1	0.0	0.0	0.0	1.2670000000000001	18225.0	Not_detected	1.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRSK2	0.0	0.0	0.0	0.3408	18225.0	0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRWD1	0.0	0.1	0.0	4.18	9463.0	High	17.8	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BRWD3	0.0	0.05357142857142857	0.0	1.755	18225.0	Low	2.7	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BSCL2	0.029411764705882353	0.0	1.0	37.72	1779.0	Not_detected	41.8	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	1.0
BSDC1	0.5	0.0	0.0	27.87	2518.0	Medium	34.6	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BSG	0.05343511450381679	0.17142857142857143	0.0	436.7	67.0	High	280.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BSN	0.0	0.0	0.0	0.3659	18225.0	Not_detected	0.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BSND	0.0	1.0	1.0	8.718	6781.0	High	10.2	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	1.0
BSPRY	0.0	0.5	0.0	15.32	4509.0	Not_detected	9.2	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BST1	0.5	0.0	0.0	3.266	18225.0	0	18.7	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BST2	0.0	0.0	0.0	134.1	342.0	High	40.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BTAF1	0.034482758620689655	0.0374331550802139	0.0	12.44	5277.0	0	10.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BTBD1	0.04	0.0	0.0	22.36	3167.0	Medium	38.8	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BTBD10	0.0	0.07692307692307693	0.0	7.2170000000000005	7504.0	Low	11.7	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BTBD11	1.0	0.0	0.0	1.081	18225.0	0	4.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BTBD16	0.0	0.0	0.0	0.3432	18225.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BTBD19	0.0	0.0	0.0			0	0.4	0.0	0.0	0.0	0.0	0.0							0.0
BTBD2	0.05405405405405406	0.0	0.0	48.27	1318.0	0	26.4	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BTBD3	0.0	0.5	0.0	8.054	7087.0	0	12.5	0.0	0.0	0.0	0.0	0.0	7.0	2e-12	4e-16	0.333831	0.28471	1.0	0.0
BTBD6	0.0	0.0	0.0	35.14	1926.0	Not_detected	17.7	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BTBD7	0.0	0.0	0.0	6.26	8063.0	0	6.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	1.0
BTBD8	0.0	0.0	0.0	0.2285	18225.0	0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BTBD9	0.0	0.0	0.0	3.2939999999999996	18225.0	0	7.6	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BTC	0.0	0.2222222222222222	0.0	2.38	18225.0	0	4.7	1.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BTD	0.21428571428571427	0.0	0.0	7.763999999999999	7225.0	0	32.9	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	1.0
BTF3	0.175	0.04153354632587859	0.0	276.1	133.0	High	414.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BTF3L4	0.0	0.041401273885350316	0.0	7.187	7515.0	Medium	37.4	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BTG1	0.038461538461538464	0.0	0.0	81.2	653.0	0	50.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BTG2	0.05263157894736842	0.0	0.0	89.96	569.0	0	131.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BTG3	0.0	0.0	0.0	15.92	4370.0	Medium	19.9	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BTG4	0.0	0.0	0.0	0.0	18225.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BTK	0.0759493670886076	0.020833333333333332	0.0	0.7958	18225.0	Not_detected	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BTLA	0.3333333333333333	0.0	0.0	0.1013	18225.0	Not_detected	0.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BTN1A1	0.0	0.0	0.0	0.01496	18225.0	Not_detected	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BTN2A1	0.1891891891891892	0.0	0.0	16.38	4280.0	Low	9.7	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BTN2A2	0.0	0.0	0.0	3.3689999999999998	18225.0	0	5.6	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BTN3A1	0.0	0.0	0.0	10.45	5985.0	High	12.4	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BTN3A2	0.14285714285714285	0.0	0.0	9.714	6314.0	0	14.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BTN3A3	0.0	0.0	0.0	8.802999999999999	6738.0	Medium	9.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BTNL2	0.0	0.0	0.0	0.04973	18225.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1e-48	1e-48	2.87	2.87	1.0	0.0
BTNL8	0.11904761904761904	0.0	0.0	0.2434	18225.0	Not_detected	0.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BTRC	0.06976744186046512	0.024	0.0	5.4510000000000005	8573.0	Medium	9.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BUB1	0.10344827586206896	0.08264462809917356	0.0	0.165	18225.0	0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BUB1B	0.05747126436781609	0.09090909090909091	1.0	0.3045	18225.0	0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BUB3	0.06818181818181818	0.06086956521739131	0.0	21.34	3313.0	Medium	34.4	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BUD13	0.0625	0.07407407407407407	0.0	9.466000000000001	6436.0	High	9.7	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BUD31	0.05263157894736842	0.03418803418803419	0.0	30.45	2277.0	Medium	33.8	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BVES	0.0	0.0	0.0	0.4151	18225.0	Not_detected	1.2	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BYSL	0.01904761904761905	0.033942558746736295	0.0	6.399	7972.0	High	3.8	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BZW1	0.04	0.0	0.0	22.21	3197.0	0	93.9	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
BZW2	0.045454545454545456	0.0	0.0	17.59	4006.0	Medium	18.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C10orf111	0.0	0.0	0.0	0.3523	18225.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C10orf12	0.0	0.0	0.0	0.7277	18225.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C10orf131	0.5	0.0	0.0			0	0.0	0.0	0.0	0.0	0.0	0.0							0.0
C10orf32	0.0	0.0	0.0	24.0	2973.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C10orf35	0.0	0.0	0.0	8.881	6693.0	Medium	4.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C10orf54	0.0	0.0	0.0	8.779	6751.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C10orf55	0.3333333333333333	0.0	0.0	0.5398	18225.0	0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C10orf62	0.0	0.0	0.0	0.5898	18225.0	Not_detected	0.2	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C10orf76	0.0	0.0	0.0	10.12	6147.0	High	10.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C10orf82	0.0	0.0	0.0	0.7058	18225.0	0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C10orf88	0.1111111111111111	0.0	0.0	3.489	18225.0	Medium	2.6	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C10orf90	0.3333333333333333	0.0	0.0	0.01819	18225.0	0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C10orf95	0.0	0.0	0.0	0.7813	18225.0	0	1.6	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C11orf1	0.3333333333333333	0.0	0.0	8.184	7027.0	0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C11orf16	0.0	0.0	0.0	0.2854	18225.0	0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C11orf42	0.0	0.0	0.0	0.1956	18225.0	Not_detected	0.2	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C11orf45	0.0	0.0	0.0	0.7822	18225.0	0	1.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C11orf49	0.045454545454545456	0.0	0.0	10.44	5995.0	0	14.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C11orf52	0.3333333333333333	0.0	0.0	26.19	2700.0	0	44.9	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C11orf53	0.0	0.0	0.0	0.08691	18225.0	0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C11orf54	0.25	0.0	0.0	39.08	1694.0	High	539.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C11orf57	0.0	0.0	0.0	8.453	6909.0	Low	15.4	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C11orf63	0.0	0.0	0.0	3.48	18225.0	Not_detected	8.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C11orf65	0.0	0.0	0.0	0.3169	18225.0	0	2.6	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C11orf68	0.1111111111111111	0.015625	0.0	27.13	2603.0	0	16.6	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C11orf70	0.0	0.0	0.0	0.7922	18225.0	Not_detected	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C11orf71	0.25	0.0	0.0	0.0	18225.0	0	14.7	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C11orf73	0.125	0.08571428571428572	0.0	9.567	6390.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C11orf74	0.5	0.0	0.0	10.13	6137.0	0	28.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C11orf84	0.0	0.0	0.0	8.62	6829.0	0	4.8	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C11orf87	0.0	0.0	0.0	0.009493999999999999	18225.0	Not_detected	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C11orf98	0.0	0.0	0.0			0	39.2	0.0	0.0	0.0	0.0	0.0							0.0
C12orf10	0.0	0.0	0.0	38.96	1699.0	Medium	24.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C12orf29	0.0	0.0	0.0	5.864	8305.0	0	6.9	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C12orf4	0.0	0.06944444444444445	0.0	3.832	18225.0	0	6.4	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C12orf40	0.0	0.0	0.0	0.0	18225.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C12orf43	0.0	0.0	0.0	6.944	7664.0	0	6.4	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C12orf45	0.0	0.0	0.0	4.512	9178.0	0	4.2	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C12orf49	0.4	0.0	0.0	12.94	5132.0	0	11.6	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C12orf50	0.0	0.0	0.0	0.0	18225.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C12orf57	0.0	0.0	0.0	49.54	1268.0	Medium	68.7	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C12orf60	0.0	0.0	0.0	1.011	18225.0	0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C12orf65	0.0	0.0	0.0	4.402	9273.0	0	9.2	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C12orf66	0.0	0.0	0.0	1.629	18225.0	0	5.8	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C12orf73	0.0	0.0	0.0			0	7.4	0.0	0.0	0.0	0.0	0.0							0.0
C12orf76	0.0	0.0	0.0	3.3360000000000003	18225.0	0	12.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C14orf1	0.10144927536231885	0.14285714285714285	0.0	20.3	3467.0	High	16.9	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C14orf105	0.05	0.0	0.0	53.97	1144.0	0	63.6	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C14orf119	0.16666666666666666	0.0	0.0	19.93	3541.0	0	42.8	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C14orf142	0.75	0.25	0.0	12.84	5163.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C14orf159	0.0	0.0	0.0	18.35	3845.0	High	38.4	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C14orf166	0.023809523809523808	0.0	0.0	86.04	612.0	Medium	80.9	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C14orf178	0.0	0.0	0.0	0.04227	18225.0	0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C14orf80	0.1	0.5	0.0	2.069	18225.0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
C14orf93	0.0	0.0	0.0	4.354	9305.0	High	6.9	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
